actual values,predicted values,differences
57.0,54.83499999999996,2.165000000000042
30.0,54.42900833333334,-24.429008333333343
91.0,74.32778333333331,16.672216666666685
24.0,25.888916666666706,-1.8889166666667059
23.0,32.62224999999997,-9.622249999999973
56.0,33.74427500000002,22.255724999999977
76.0,146.82108333333338,-70.82108333333338
115.0,90.97871666666684,24.02128333333316
57.0,45.30786666666663,11.692133333333373
125.0,67.06566666666664,57.934333333333356
16.2,22.35156666666667,-6.151566666666671
152.0,104.65608333333316,47.34391666666684
59.0,72.18833333333343,-13.188333333333432
23.0,36.83339166666671,-13.833391666666706
59.0,64.25075000000008,-5.250750000000082
99.0,100.41083333333337,-1.4108333333333718
80.0,88.20399999999995,-8.20399999999995
69.0,76.24374999999992,-7.24374999999992
31.0,37.38783333333335,-6.387833333333347
68.0,83.46383333333328,-15.463833333333284
30.0,42.210133333333296,-12.210133333333296
53.0,47.08091666666671,5.91908333333329
18.0,44.111499999999964,-26.111499999999964
20.0,40.660091666666624,-20.660091666666624
65.0,74.10802500000008,-9.108025000000083
84.0,140.2054166666668,-56.20541666666679
30.0,24.33024999999999,5.669750000000011
104.0,92.03450000000001,11.965499999999992
74.0,110.23458333333338,-36.234583333333376
34.0,37.623449999999984,-3.623449999999984
38.0,32.079266666666676,5.920733333333324
132.0,113.64383333333339,18.35616666666661
112.0,94.22680000000003,17.773199999999974
112.0,93.36550000000004,18.63449999999996
89.0,47.95604166666667,41.04395833333333
20.0,42.70973333333335,-22.709733333333347
64.0,62.28419999999996,1.715800000000037
48.0,53.832425000000065,-5.832425000000065
27.0,21.524683333333357,5.475316666666643
35.0,62.76895833333337,-27.768958333333373
22.0,22.31293333333334,-0.3129333333333406
61.0,46.978250000000024,14.021749999999976
22.0,23.745516666666713,-1.7455166666667132
64.0,61.82562500000006,2.174374999999941
179.0,128.32200000000003,50.67799999999997
55.0,39.240583333333284,15.759416666666716
13.0,38.802925000000016,-25.802925000000016
19.0,30.936183333333354,-11.936183333333354
9.0,40.86272499999998,-31.862724999999983
18.0,26.222350000000063,-8.222350000000063
25.0,40.99450000000001,-15.99450000000001
66.0,103.55595833333335,-37.55595833333335
46.0,53.98974166666663,-7.989741666666632
17.0,21.752166666666653,-4.752166666666653
91.0,96.1193333333333,-5.1193333333333015
61.0,59.85380833333332,1.146191666666681
46.0,55.53783333333336,-9.53783333333336
17.0,30.012749999999986,-13.012749999999986
78.0,106.27081666666662,-28.27081666666662
53.0,58.25608333333328,-5.2560833333332795
57.0,52.09903333333329,4.9009666666667115
57.0,41.68718333333332,15.312816666666677
14.0,26.00153333333332,-12.00153333333332
188.0,146.82491666666664,41.17508333333336
17.0,20.950166666666682,-3.950166666666682
21.0,25.696249999999967,-4.696249999999967
53.0,61.103,-8.103000000000002
99.0,119.80416666666667,-20.804166666666674
17.0,23.367083333333326,-6.367083333333326
158.0,125.55741666666661,32.44258333333339
38.0,44.874658333333436,-6.874658333333436
84.0,94.78311666666676,-10.783116666666757
51.0,41.34124999999995,9.658750000000047
134.0,80.41341666666669,53.58658333333331
154.0,104.51841666666681,49.48158333333319
25.0,34.417141666666666,-9.417141666666666
42.0,44.10424999999997,-2.104249999999972
27.0,39.717749999999974,-12.717749999999974
34.0,93.04591666666663,-59.04591666666663
63.0,60.69191666666664,2.3080833333333572
20.0,26.083016666666655,-6.083016666666655
152.0,120.26892500000007,31.731074999999933
25.0,76.46974999999996,-51.46974999999996
89.0,90.45795,-1.4579499999999967
159.0,154.75799999999975,4.242000000000246
59.0,56.04341666666668,2.9565833333333202
30.0,29.148566666666653,0.8514333333333468
72.0,63.653416666666644,8.346583333333356
23.0,41.428166666666705,-18.428166666666705
53.0,27.413999999999998,25.586000000000002
53.0,43.0435,9.956499999999998
63.0,66.90800000000003,-3.9080000000000297
38.0,84.05112500000003,-46.05112500000003
55.0,38.02770000000004,16.97229999999996
34.0,76.43343333333334,-42.43343333333334
50.0,61.351583333333345,-11.351583333333345
26.0,31.60124999999997,-5.601249999999968
101.0,81.61253333333329,19.38746666666671
93.0,60.77015833333334,32.22984166666666
37.0,39.32038333333341,-2.3203833333334103
75.0,53.52935833333333,21.470641666666673
51.0,44.05529999999998,6.944700000000019
17.0,41.74383333333339,-24.74383333333339
25.0,23.164266666666656,1.8357333333333443
158.0,149.98625,8.013749999999987
51.0,54.63700000000003,-3.637000000000029
17.0,21.780099999999987,-4.780099999999987
35.0,35.80075833333331,-0.800758333333313
64.0,41.344966666666586,22.655033333333414
53.0,24.975500000000018,28.024499999999982
34.0,23.315591666666688,10.684408333333312
92.0,77.79725000000005,14.202749999999952
38.0,51.51566666666664,-13.51566666666664
19.0,33.826833333333276,-14.826833333333276
159.0,108.96224999999998,50.03775000000002
144.0,123.71775000000002,20.282249999999976
21.0,40.39916666666666,-19.39916666666666
124.0,89.61538333333333,34.38461666666667
191.0,159.39769999999967,31.602300000000326
30.0,46.91025833333326,-16.91025833333326
30.0,64.77705000000002,-34.77705000000002
17.0,54.69319999999997,-37.69319999999997
27.0,29.39599999999997,-2.395999999999969
17.0,36.8445833333333,-19.844583333333297
17.0,36.01549999999996,-19.01549999999996
55.0,91.80574999999993,-36.80574999999993
15.0,27.540074999999984,-12.540074999999984
34.0,43.0930333333333,-9.093033333333302
158.0,158.21925000000016,-0.2192500000001587
19.0,67.61050000000007,-48.61050000000007
167.0,177.74274999999997,-10.742749999999972
213.0,68.35343333333334,144.64656666666667
144.0,125.82166666666662,18.178333333333384
176.0,159.69500000000014,16.304999999999865
59.0,51.89153333333329,7.108466666666708
43.0,55.6249166666667,-12.6249166666667
93.0,92.14475000000003,0.8552499999999696
82.0,50.83224999999997,31.167750000000026
118.0,70.37258333333338,47.62741666666662
38.0,35.93228333333329,2.067716666666712
57.0,78.04790000000006,-21.047900000000055
155.0,101.9823666666665,53.01763333333351
38.0,37.87945000000004,0.12054999999995886
42.0,55.18860833333332,-13.18860833333332
109.0,118.94675000000001,-9.946750000000009
34.0,59.59254999999996,-25.59254999999996
27.0,88.88758333333348,-61.88758333333348
142.0,112.77875000000006,29.22124999999994
17.0,30.884416666666713,-13.884416666666713
42.0,53.45754166666666,-11.457541666666657
106.0,81.73549999999996,24.26450000000004
97.0,67.92360833333333,29.076391666666666
38.0,46.82474166666667,-8.824741666666668
28.0,30.831424999999996,-2.831424999999996
45.0,41.13760000000001,3.8623999999999867
9.0,19.523666666666667,-10.523666666666667
80.0,68.1173666666667,11.882633333333303
212.0,157.5062499999999,54.49375000000009
124.0,71.30044166666669,52.699558333333314
88.0,74.21555833333345,13.784441666666552
72.0,35.61805833333339,36.38194166666661
76.0,107.60100000000003,-31.601000000000028
28.0,28.50867499999999,-0.5086749999999896
148.0,77.81410000000004,70.18589999999996
25.0,22.21271666666665,2.787283333333349
42.0,39.93058333333336,2.0694166666666405
124.0,57.94016666666662,66.05983333333339
58.0,70.24358333333336,-12.243583333333362
38.0,71.45600000000003,-33.45600000000003
156.0,158.49091666666675,-2.490916666666749
53.0,41.693066666666724,11.306933333333276
13.0,44.55432500000002,-31.55432500000002
103.0,89.4032666666666,13.596733333333404
42.0,34.873916666666716,7.126083333333284
76.0,76.72308333333335,-0.7230833333333493
68.0,67.35208333333331,0.6479166666666885
91.0,121.991,-30.991
168.0,152.72133333333338,15.278666666666624
30.0,36.60826666666667,-6.6082666666666725
62.0,60.13025000000005,1.8697499999999465
64.0,62.864383333333336,1.1356166666666638
15.0,20.883933333333363,-5.883933333333363
140.0,115.79043333333348,24.209566666666518
21.0,21.60315833333334,-0.6031583333333401
76.0,77.8625166666666,-1.8625166666665933
42.0,48.26308333333333,-6.263083333333327
50.0,49.46174999999996,0.5382500000000405
